"show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"s1027","Movie","Barbie & Chelsea: The Lost Birthday","Cassi Simonds","""America Young"," Cassidy Naber"," Kirsten Day",," Lisa Fuson"," Greg Chun"," Benjamin Pronsky"," Laila Berzins"
"s1028","Movie","Crimson Peak","Guillermo del Toro","""Mia Wasikowska"," Jessica Chastain"," Tom Hiddleston",," Jim Beaver"," Burn Gorman"," Leslie Hope"," Doug Jones"
"s1029","Movie","Dad Stop Embarrassing Me - The Afterparty","","""David Spade"," London Hughes"," Fortune Feimster",," David Alan Grier"," Kyla-Drew"," Porscha Coleman"," Jonathan Kite"
"s1030","Movie","Doctor Bello","Tony Abulu","""Isaiah Washington"," Vivica A. Fox"," Jimmy Jean-Louis",," Stephanie Okereke"," Justus Esiri"," Ebbe Bassey"," Jon Freda"
"s1031","Movie","Four Sisters Before the Wedding","Mae Czarina Cruz","""Alexa Ilacad"," Charlie Dizon"," Gillian Vicencio",," Dominic Ochoa"," Carmina Villaroel"," Irma Adlawan"," Kakai Bautista"
"s1032","Movie","Into the Beat","Stefan Westerwelle","""Alexandra Pfeifer"," Yalany Marschner"," Trystan Pütter",," Julius Nitschkoff"," Dennis Kyere"," Ina Geraldine Guy"," Katrin Pollitt"
"s1033","TV Show","Love Naggers","","""Seo Jang-hoon"," Kim Sook"," Han Hye-jin",," Ju Wu-jae""","South Korea","""April 16"," 2021"""
"s1034","Movie","Rush","Ron Howard","""Chris Hemsworth"," Daniel Brühl"," Olivia Wilde",," Pierfrancesco Favino"," David Calder"," Natalie Dormer"," Stephen Mangan"
"s1035","Movie","Synchronic","""Justin Benson"," Aaron Moorhead""","""Anthony Mackie"," Jamie Dornan",," Ally Ioannides"," Ramiz Monsef"," Bill Oberst Jr.""","United States"
"s1036","Movie","The Zookeeper's Wife","Niki Caro","""Jessica Chastain"," Johan Heldenbergh"," Daniel Brühl",," Efrat Dor"," Iddo Goldberg"," Shira Haas"," Michael McElhatton"
"s1037","Movie","Time Trap","""Mark Dennis"," Ben Foster""","""Andrew Wilson"," Cassidy Gifford",," Reiley McClendon"," Olivia Draguicevich"," Max Wright"," Hans Marrero"
"s1038","Movie","Tuesdays & Fridays","Taranveer Singh","""Anmol Thakeria Dhillon"," Jhataleka"," Niki Walia",," Zoa Morani"," Nayan Shukla"," Eklavyey Kashyap"," Reem Shaikh"""
"s1039","TV Show","Dancing Angels","","","","""April 15",,"2016","TV-PG","1 Season","""International TV Shows"
"s1040","Movie","Dark City Beneath the Beat","TT The Artist","""Uneek"," Mighty Mark"," Tsu Terry",,"United States","""April 15"," 2021""","2020"
"s1041","TV Show","Durarara!!","","""Toshiyuki Toyonaga"," Miyuki Sawashiro"," Mamoru Miyano",," Hiroshi Kamiya"," Daisuke Ono"," Jun Fukuyama"," Yuichi Nakamura"
"s1042","Movie","GANTZ:O","""Keiichi Sato"," Yasushi Kawamura""","""Daisuke Ono"," M・A・O",," Saori Hayami"," Shuichi Ikeda"," Kendo Kobayashi"," Razor Ramon RG"
"s1043","TV Show","Garth Brooks: The Road I’m On","Glenn Weiss","Garth Brooks","United States","""April 15",,"2019","TV-PG","1 Season","Docuseries"
"s1044","TV Show","Gilmore Girls","","""Lauren Graham"," Alexis Bledel"," Scott Patterson",," Yanic Truesdale"," Kelly Bishop"," Edward Herrmann"," Melissa McCarthy"
"s1045","TV Show","High-Rise Invasion","","""Haruka Shiraishi"," Shiki Aoki"," Akira Sekine",," Yuuichirou Umehara"," Megumi Ogata"," Shoya Chiba"," Makoto Furukawa"
"s1046","TV Show","Next in Fashion","","""Tan France"," Alexa Chung""","United States",," 2021""","2020","TV-14","1 Season"
"s1047","Movie","Only Mine","Michael Civille","""Amber Midthunder"," Brett Zimmerman"," Chris Browning",," Claudia Ferri"," Lorenzo James Henrie"," Ellen Wroe"," Ashley Holliday Tavares"
"s1048","TV Show","Peasants Rebellion","","""Ward El Kal"," Aimée Sayah"," Bassem Moughnie",," Sara Abi Kanaan"," Wesam Hanna""","Lebanon","""April 15"
"s1049","TV Show","Power Players","","""Kieran Walton"," Carlos Salazar"," Greg Chun",," Reba Buhr"," Todd Haberkorn"," Landon McDonald"," Scott Whyte"
"s1050","TV Show","Ricky Zoom","","""Max Fincham"," Twinkle Jaiswal"," Bradley Bissett",," Adam Longworth"," Ashton Frank"," Edward Moloney"," Esther Coles"
"s1051","Movie","Ride or Die","Ryuichi Hiroki","""Kiko Mizuhara"," Honami Sato"," Yoko Maki",," Tetsushi Tanaka"," Sara Minami"," Yui Uemura"," Shinya Niiro"
"s1052","TV Show","Sonic X","","""Junichi Kanemaru"," Sanae Kobayashi"," Ryo Hirohashi",," Nobutoshi Canna"," Koji Yusa"," Rumi Ochiai"," Sayaka Aoki"
"s1053","Movie","The Master","Paul Thomas Anderson","""Joaquin Phoenix"," Philip Seymour Hoffman"," Amy Adams",," Kevin J. O'Connor"," Jesse Plemons"," Rami Malek"," Christopher Evan Welch"
"s1054","Movie","Time Is Illmatic","One9","""Nasir 'Nas' Jones"," Busta Rhymes"," Pete Rock",," Q-Tip"," Swizz Beatz"," Alicia Keys"," DJ Premier"""
"s1055","Movie","Wave of Cinema: One Day We'll Talk About Today","Adriano Rudiman","""Isyana Sarasvati"," Kunto Aji"," Sisir Tanah",," ARAH"," Hindia"," Ardhito Pramono"," Rio Dewanto"
"s1056","Movie","Zoot Suit","Luis Valdez","""Daniel Valdez"," Edward James Olmos"," Charles Aidman",," John Anderson"," Abel Franco"," Mike Gomez"," Francis X. McCarthy"
"s1057","TV Show","Ajaibnya Cinta","","","","""April 14",,"2015","TV-PG","1 Season","""International TV Shows"
"s1058","TV Show","Dad Stop Embarrassing Me!","","""Jamie Foxx"," David Alan Grier"," Kyla-Drew",," Jonathan Kite"," Heather Hemmens"," Valente Rodriguez""","United States"
"s1059","TV Show","Fate: The Winx Saga","","""Abigail Cowen"," Hannah Van Der Westhuysen"," Precious Mustapha",," Elisha Applebaum"," Danny Griffin"," Sadie Soverall"," Freddie Thorp"
"s1060","TV Show","House of Cards","","""Kevin Spacey"," Robin Wright"," Kate Mara",," Sakina Jaffrey"," Kristen Connolly"," Constance Zimmer"," Sebastian Arcelus"
"s1061","TV Show","Indian Matchmaking","","","""United States"," India""",," 2021""","2020","TV-14","1 Season"
"s1062","TV Show","Jeffrey Epstein: Filthy Rich","","","United States","""April 14",,"2020","TV-MA","1 Season","""Crime TV Shows"
"s1063","TV Show","Law School","","""Kim Myung-min"," Kim Beom"," Ryu Hye-young",," Park Hyuk-kwon"," An Nae-sang"," Chung Won-joong"," Lee Su-kyoung"
"s1064","TV Show","Living with Yourself","","""Paul Rudd"," Aisling Bea"," Desmin Borges",," Karen Pittman""","United States","""April 14"," 2021"""
"s1065","TV Show","Signal","","""Kim Hye-su"," Lee Je-hoon"," Cho Jin-woong",," Jeong Hae-gyoon"," Kim Won-hae"," Jung Han-bi"," Lee Yu-jun"
"s1066","TV Show","Slasher","","""Katie McGrath"," Brandon Jay McLaren"," Steve Byers",," Dean McDermott"," Christopher Jacot"," Wendy Crewson"," Leslie Hope"
"s1067","Movie","The Soul","Cheng Wei-hao","""Chang Chen"," Janine Chang"," Christopher Lee",," Lin Hui-min"," Samuel Ku"," Zhang Bojia"," Lu Hsueh-feng"""
"s1068","TV Show","The Underclass","Pass Patthanakumjon","""Nannaphas Loetnamchoetsakun"," Praewa Suthamphong"," Sumitra Duangkaew",," Tarisa Preechatangkit"," Natticha Chantaravareelekha"," Miori Ohkubo"," Pakwan Noijaiboon"
"s1069","TV Show","Unnatural Selection","","","United States","""April 14",,"2019","TV-MA","1 Season","""Docuseries"
"s1070","Movie","Uppena","Buchi Babu Sana","""Panja Vaisshnav Tej"," Krithi Shetty"," Vijay Sethupathi""",,"""April 14"," 2021""","2020","TV-14"
"s1071","Movie","Why Did You Kill Me?","Fredrick Munk","","United States","""April 14",,"2021","TV-MA","84 min","Documentaries"
"s1072","Movie","Motu Patlu in Hong Kong: Kung Fu Kings 3","Suhas Kadav","""Saurav Chakraborty"," Sankalp Rastogi"," Anamaya Varma",," Manoj Pandey""","","""April 13"," 2021"""
"s1073","Movie","Motu Patlu in the City of Gold","Suhas Kadav","""Saurav Chakraborty"," Ganesh Diweker"," Arpita Vora",," Mayur Vyas"," Sanjeev Tiwari"," Nandkishore Pandey"," Aditya Raaj"""
"s1074","Movie","Motu Patlu Kung Fu Kings 4 The Challenge of Kung Fu Brothers","Suhas Kadav","""Saurav Chakraborty"," Sanket Mhatre"," Kamal Chaturvedi",," Trilok Patel"," Manish Bhuvan""","","""April 13"
"s1075","Movie","Motu Patlu the Superheroes – Super Villains from Mars","Suhas Kadav","Saurav Chakraborty","","""April 13",,"2019","TV-Y7","79 min","Children & Family Movies"
"s1076","TV Show","My Love: Six Stories of True Love","""Moyoung Jin"," Caroline Sá"," Deepti Kakkar"," Fahad Mustafa",," Chico Pereira"," Elaine McMillion Sheldon""","","""United States"
"s1077","Movie","Shiva VS Autobots","Suhas Kadav","","","""April 13",,"2018","TV-Y7","80 min","Children & Family Movies"
"s1078","Movie","Shiva: Journey to Plunotaria","Suhas Kadav","","","""April 13",,"2019","TV-Y7","81 min","Children & Family Movies"
"s1079","Movie","Shiva: The Secret World Of Vedas City","Suhas Kadav","","","""April 13",,"2017","TV-Y","78 min","Children & Family Movies"
"s1080","TV Show","The Baker and the Beauty","","""Victor Rasuk"," Nathalie Kelley"," Dan Bucatinsky",," Michelle Veintimilla"," Lisa Vidal"," Carlos Gómez"," Belissa Escobedo"""
"s1081","Movie","New Gods: Nezha Reborn","Zhao Ji","""Yang Tianxiang"," Zhang He"," Xuan Xiaoming",,"China","""April 12"," 2021""","2021"
"s1082","TV Show","""Nicky"," Ricky"," Dicky & Dawn""","","""Brian Stepanek",," Aidan Gallagher"," Casey Simpson"," Mace Coronel"," Lizzy Greene"""
"s1083","TV Show","Don't be the First one","","""Park Mi-sun"," Jang Do-youn""","",," 2021""","2021","TV-14","1 Season"
"s1084","Movie","The Stand-In","Jamie Babbit","""Drew Barrymore"," Michael Zegen"," T.J. Miller",," Ellie Kemper"," Andrew Rannells"," Michelle Buteau""","United States"
"s1085","TV Show","Heaven Official's Blessing","","""Jiang Guangtao"," Ma Zhengyang"," Wen Sen",," Huang Ying""","China","""April 9"," 2021"""
"s1086","Movie","Night in Paradise","Park Hoon-jung","""Um Tae-goo"," Jeon Yeo-been"," Cha Seoung-won",," Park Ho-san""","South Korea","""April 9"," 2021"""
"s1087","Movie","Ojukokoro: Greed","Dare Olaitan","""Seun Ajayi"," Zainab Balogun"," Sammie Eddie",," Charles Etubiebi"," Shawn Faqua"," Lord Frank"," Ikubese Emmanuel Ifeanyi"
"s1088","Movie","Roohi","Hardik Mehta","""Rajkummar Rao"," Varun Sharma"," Janhvi Kapoor",," Sarita Joshi"," Anuraag Arora"," Alexx O'Nell"," Rajesh Jais"""
"s1089","Movie","Thunder Force","Ben Falcone","""Melissa McCarthy"," Octavia Spencer"," Jason Bateman",," Pom Klementieff"," Melissa Leo"," Taylor Mosby"," Marcella Lowery"
"s1090","Movie","Two Distant Strangers","""Travon Free"," Martin Desmond Roe""","""Joey Bada$$"," Andrew Howard",,"United States","""April 9"," 2021""","2021"
"s1091","Movie","Story of Kale: When Someone's in Love","Angga Dwimas Sasongko","""Ardhito Pramono"," Aurélie Moeremans"," Arya Saloka",," Gilbert Pohan"," Azizah Hanum"," Tanta Ginting""","Indonesia"
"s1092","TV Show","The Way of the Househusband","","""Kenjiro Tsuda"," Shizuka Ito"," Kazuyuki Okitsu",," Jun Fukushima"," Kimiko Saito"," Yoshimasa Hosoya"," Masashi Nogawa"
"s1093","Movie","Dolly Parton: A MusiCares Tribute","","Dolly Parton","","""April 7",,"2021","TV-PG","55 min","""Documentaries"
"s1094","TV Show","The Big Day","","","India","""April 7",,"2021","TV-14","2 Seasons","""International TV Shows"
"s1095","TV Show","The Wedding Coach","","","","""April 7",,"2021","TV-MA","1 Season","""Reality TV"
"s1096","TV Show","This Is a Robbery: The World's Biggest Art Heist","","","","""April 7",,"2021","TV-MA","1 Season","""Crime TV Shows"
"s1097","Movie","The Last Kids on Earth: Happy Apocalypse to You","Steve Rolston","""Nick Wolfhard"," Charles Demers"," Montse Hernandez",," Bruce Campbell"," Catherine O'Hara"," Brian Drummond"," Giles Panton"""
"s1098","Movie","Coded Bias","Shalini Kantayya","","""United States"," China",,"""April 5"," 2021""","2020","TV-MA"
"s1099","Movie","Mandela","Madonne Ashwin","""Yogi Babu"," Sheela Rajkumar"," Sangili Murugan",,"India","""April 5"," 2021""","2021"
"s1100","Movie","The Fisherman's Diary","Enah Johnscott","""Kang Quintus"," Faith Fidel"," Casson Chinepoh",," Ndamo Damaris"," Neba Godwill Awantu"," Onyama Laura"," Prince Sube"
"s1101","Movie","What Lies Below","Braden R. Duemmler","""Ema Horvath"," Trey Tucker"," Mena Suvari",," Danny Corbo"," Olan Montgomery"," Troy Iwata""","United States"
"s1102","Movie","Escape from Planet Earth","Cal Brunker","""Rob Corddry"," Brendan Fraser"," Sarah Jessica Parker",," Jessica Alba"," Jane Lynch"," George Lopez"," Sofía Vergara"
"s1103","Movie","Accepted","Steve Pink","""Justin Long"," Jonah Hill"," Adam Herschman",," Maria Thayer"," Lewis Black"," Blake Lively"," Mark Derwin"
"s1104","Movie","Air Strike","Xiao Feng","""Bruce Willis"," Liu Ye"," Song Seung-heon",," Fan Wei"," Wu Gang"," Ma Su"," Janine Chang"
"s1105","Movie","An American Girl: McKenna Shoots for the Stars","Vince Marcello","""Jade Pettyjohn"," Kerris Dorsey"," Nia Vardalos",," Ysa Penarejo"," Cathy Rigby"," Kally Berard"," Talia Pura"
"s1106","Movie","Concrete Cowboy","Ricky Staub","""Idris Elba"," Caleb McLaughlin"," Jharrel Jerome",," Lorraine Toussaint"," Method Man"," Ivannah Mercedes"," Jamil Prattis"
"s1107","Movie","Cross: Rise of the Villains","""Patrick Durham"," Paul G. Volk""","""Brian Austin Green"," Vinnie Jones",," Richard Grieco"," Patrick Durham"," Tim Abell"," Carson Lee Bradshaw"
"s1108","Movie","God Calling","BB Sasore","""Zainab Balogun"," Karibi Fubara"," Diana Egwuatu",," Tina Mba"," Onyeka Onwenu"," Nkem Owoh"," Patrick Diabuah"
"s1109","Movie","Irul","Naseef Yusuf Izuddin","""Fahadh Faasil"," Soubin Shahir"," Darshana Rajendran""",,"""April 2"," 2021""","2021","TV-MA"
"s1110","Movie","Just Say Yes","""Appie Boudellah"," Aram van de Rest""","""Yolanthe Cabau"," Noortje Herlaar",," Nienke Plas"," Pip Pellens"," Jim Bakkum"," Huub Smit"
"s1111","Movie","Madame Claude","Sylvie Verheyde","""Karole Rocher"," Garance Marillier"," Roschdy Zem",," Liah O'Prey"," Paul Hamy"," Mylène Jampanoï"," Hafsia Herzi"
"s1112","Movie","Wild Child","Nick Moore","""Emma Roberts"," Kimberley Nixon"," Juno Temple",," Sophie Wu"," Alex Pettyfer"," Georgia King"," Natasha Richardson"
"s1113","Movie","Woody Woodpecker","Alex Zamm","""Timothy Omundson"," Thaila Ayala"," Eric Bauza",," Jordana Largy"," Scott McNeil"," Adrian Glynn McMorran"," Chelsea Miller"
"s1114","Movie","2012","Roland Emmerich","""John Cusack"," Amanda Peet"," Chiwetel Ejiofor",," Oliver Platt"," Tom McCarthy"," Woody Harrelson"," Danny Glover"
"s1115","Movie","3 Idiots","Rajkumar Hirani","""Aamir Khan"," Kareena Kapoor"," Madhavan",," Omi Vaidya"," Boman Irani"," Mona Singh"," Javed Jaffrey"""
"s1116","Movie","Ferrari Ki Sawaari","Rajesh Mapuskar","""Sharman Joshi"," Boman Irani"," Ritwik Sahore",," Deepak Shirke"," Satyadeep Misra"," Aakash Dabhade"," Nilesh Diwekar"
"s1117","TV Show","Glimpses of a Future","","","","""April 1",,"2020","TV-PG","1 Season","""Docuseries"
"s1118","Movie","Ibrahim a Fate to Define","Lina Al Abed","","""Lebanon"," Palestine",," Qatar""","""April 1"," 2021""","2019"
"s1119","Movie","Insidious","James Wan","""Patrick Wilson"," Rose Byrne"," Lin Shaye",," Barbara Hershey"," Leigh Whannell"," Angus Sampson"," Andrew Astor"
"s1120","Movie","Into the Grizzly Maze","David Hackl","""James Marsden"," Thomas Jane"," Billy Bob Thornton",," Scott Glenn"," Michaela McManus"," Adam Beach"," Kelly Curran"""
"s1121","Movie","Kingsglaive: Final Fantasy XV","Takeshi Nozue","""Aaron Paul"," Lena Headey"," Sean Bean",," Liam Mulvey"," Alexa Kahn"," Todd Haberkorn"," John DeMita"
"s1122","Movie","Legally Blonde","Robert Luketic","""Reese Witherspoon"," Luke Wilson"," Selma Blair",," Victor Garber"," Jennifer Coolidge""","United States","""April 1"
"s1123","Movie","Madam Chief Minister","Subhash Kapoor","""Richa Chadda"," Saurabh Shukla"," Manav Kaul",," Akshay Oberoi"," Boloram Das"," Nikhil Vijay"," Raviza Chauhan"""
"s1124","TV Show","Magical Andes","","","""Uruguay"," Germany""",," 2021""","2021","TV-G","2 Seasons"
"s1125","Movie","Maximum Risk","Ringo Lam","""Jean-Claude Van Damme"," Natasha Henstridge"," Jean-Hugues Anglade",," Paul Ben-Victor"," Frank Senger"," Stéphane Audran""","United States"
"s1126","TV Show","Murder Maps","","Nicholas Day","United Kingdom","""April 1",,"2017","TV-MA","2 Seasons","""British TV Shows"
"s1127","Movie","My Fair Lady","George Cukor","""Audrey Hepburn"," Rex Harrison"," Stanley Holloway",," Gladys Cooper"," Jeremy Brett"," Theodore Bikel"," Mona Washbourne"
"s1128","TV Show","Prank Encounters","","Gaten Matarazzo","United States","""April 1",,"2021","TV-MA","2 Seasons","""Reality TV"
"s1129","Movie","S.W.A.T.: Under Siege","Tony Giglio","""Sam Jaeger"," Michael Jai White"," Adrianne Palicki",," Kyra Zagorsky"," Olivia Cheng"," Lisa Chandler"," Monique Ganderton"
"s1130","TV Show","Secrets of Great British Castles","","Dan Jones","United Kingdom","""April 1",,"2016","TV-PG","2 Seasons","""British TV Shows"
"s1131","Movie","Seven Souls in the Skull Castle: Season Bird","Hidenori Inoue","""Sadao Abe"," Mirai Moriyama"," Taichi Saotome",," Makoto Awane"," Tenkyu Fukuda"," Yusuke Shoji"," Hazuki Shimizu"
"s1132","Movie","Seven Souls in the Skull Castle: Season Flower","Hidenori Inoue","""Shun Oguri"," Koji Yamamoto"," Songha",," Munetaka Aoki"," Nana Seino"," Yoshimasa Kondo"," Arata Furuta"""
"s1133","Movie","Seven Souls in the Skull Castle: Season Wind","Hidenori Inoue","""Kenichi Matsuyama"," Osamu Mukai"," Rena Tanaka",," Takaya Yamauchi"," Yukino Kishii"," Katsuhisa Namase""",""
"s1134","Movie","Sniper: Ghost Shooter","Don Michael Paul","""Chad Michael Collins"," Billy Zane"," Dennis Haysbert",," Ravil Isyanov"," Stephanie Vogt"," Navid Negahban"," Presciliana Esparolini"
"s1135","Movie","Starship Troopers: Traitor of Mars","""Shinji Aramaki"," Masaru Matsumoto""","""Casper Van Dien"," Dina Meyer",," Justin Doran"," Luci Christian"," Emily Neves"," Scott Gibbs"
"s1136","Movie","Takers","John Luessenhop","""Matt Dillon"," Paul Walker"," Chris Brown",," Jay Hernandez"," Hayden Christensen"," Michael Ealy"," T.I."
"s1137","Movie","Tersanjung the Movie","""Hanung Bramantyo"," Pandu Adjisurya""","""Clara Bernadeth"," Giorgino Abraham",," Nugie"," Kinaryosih"," Marthino Lio"," Djenar Maesa Ayu"
"s1138","Movie","The Knight and the Princess","Bashir El Deek","""Sedky Sakhr"," Hashem El Garhy"," Shahira Kamal",," Hani R. Eskander"," Saif Abu-Kandil""","""Egypt"," Saudi Arabia"""
"s1139","Movie","The Pianist","Roman Polański","""Adrien Brody"," Thomas Kretschmann"," Frank Finlay",," Emilia Fox"," Ed Stoppard"," Julia Rayner"," Jessica Kate Meyer"
"s1140","Movie","The Stepfather","Nelson McCormick","""Dylan Walsh"," Sela Ward"," Penn Badgley",," Sherry Stringfield"," Paige Turco"," Jon Tenney"," Nancy Linehan Charles"
"s1141","Movie","Universal Soldier: The Return","Mic Rodgers","""Jean-Claude Van Damme"," Michael Jai White"," Heidi Schanz",," Justin Lazard"," Kiana Tom"," Daniel von Bargen"," James Black"
"s1142","Movie","Wazir","Bejoy Nambiar","""Amitabh Bachchan"," Farhan Akhtar"," Aditi Rao Hydari",," Neil Nitin Mukesh"," John Abraham""","India","""April 1"
"s1143","Movie","White Boy","Shawn Rech","Richard Wershe Jr.","United States","""April 1",,"2017","TV-MA","83 min","Documentaries"
"s1144","TV Show","Worn Stories","","","United States","""April 1",,"2021","TV-MA","1 Season","""Docuseries"
"s1145","Movie","Yes Man","Peyton Reed","""Jim Carrey"," Zooey Deschanel"," Bradley Cooper",," Rhys Darby"," Danny Masterson"," Fionnula Flanagan"," Terence Stamp"
"s1146","Movie","At Eternity's Gate","Julian Schnabel","""Willem Dafoe"," Rupert Friend"," Oscar Isaac",," Mathieu Amalric"," Emmanuelle Seigner"," Niels Arestrup"," Anne Consigny"
"s1147","TV Show","Haunted: Latin America","Adrián García Bogliano","","""United States"," Mexico""",," 2021""","2021","TV-14","1 Season"
"s1148","Movie","Not a Game","Jose Gomez","Brendon Mcdonnell","United Kingdom","""March 31",,"2020","TV-MA","98 min","""Documentaries"
"s1149","TV Show","Robocar Poli","","""Donald Reignoux"," Alexis Tomassian"," Thomas Sagols",," Bruno Magne"," Catherine Desplaces"," Fily Keita"," Adeline Chetail"
"s1150","TV Show","Yu-Gi-Oh!","","""Dan Green"," Eric Stuart"," Amy Birnbaum",," Wayne Grayson"," Tara Sands"," Lisa Ortiz"," Megan Hollingshead"
"s1151","Movie","7 Yards: The Chris Norton Story","Jonathon Link","Chris Norton","United States","""March 30",,"2021","TV-PG","93 min","Documentaries"
"s1152","Movie","Octonauts & the Ring of Fire","Blair Simmons","""Simon Greenall"," Rob Rackstraw"," Jo Wyatt",," Simon Foster"," Teresa Gallagher"," Richard Grieve"," Michael Murphy"
"s1153","TV Show","Rainbow High","","""Tara Sands"," Anairis Quiñones"," Laura Stahl",," Kira Buckland"," Brittany Cox"," Brittany Lauda"," Christian Banas"
"s1154","Movie","Mandela: Long Walk to Freedom","Justin Chadwick","""Idris Elba"," Naomie Harris"," Tony Kgoroge",," Zolani Mkiva"," Simo Mogwaza"," Fana Mokoena"," Thapelo Mokoena"
"s1155","Movie","Lawless","John Hillcoat","""Shia LaBeouf"," Jessica Chastain"," Jason Clarke",," Lew Temple"," Gary Oldman"," Tim Tolin"," Dane DeHaan"
"s1156","Movie","Marked","Nadine Ibrahim","","Nigeria","""March 28",,"2021","TV-PG","21 min","""Documentaries"
"s1157","Movie","A Week Away","Roman White","""Kevin Quinn"," Bailee Madison"," Jahbril Cook",," Sherri Shepherd"," David Koechner"," Iain Tucker"," Amy Grant"""
"s1158","Movie","Bad Trip","","""Eric André"," Lil Rel Howery"," Tiffany Haddish",,"United States","""March 26"," 2021""","2021"
"s1159","TV Show","Big Time Rush","","""Kendall Schmidt"," James Maslow"," Carlos Pena",," Ciara Bravo"," Stephen Kramer Glickman"," Tanya Chisholm"," Challen Cates"
"s1160","Movie","Black Is Beltza","Fermín Muguruza","""Unax Ugalde"," Isaach De Bankolé"," Iseo",," Ramón Agirre"," Jorge Perugorría"," Angelo Moore"," Maria de Medeiros"""
"s1161","Movie","Croupier","Mike Hodges","""Clive Owen"," Kate Hardie"," Alex Kingston",," Nicholas Ball"," Nick Reding"," Alexander Morton""","""Ireland"
"s1162","Movie","Elizabeth and Margaret: Love and Loyalty","","","United Kingdom","""March 26",,"2020","TV-PG","87 min","Documentaries"
"s1163","Movie","Keeping the Bees","Eylem Kaftan","""Meryem Uzerli"," Feyyaz Duman"," Hakan Karsak",," Burcu Salihoğlu""","Turkey","""March 26"," 2021"""
"s1164","TV Show","Magic for Humans Spain","","Antonio Díaz","Spain","""March 26",,"2021","TV-MA","1 Season","""International TV Shows"
"s1165","Movie","Ni de coña","Fernando Ayllón","""Nathalie Seseña"," Goyo Jiménez"," José Juan Vaquero",," Ricardo Quevedo"," Carolina Noriega"," Max Marieges"," Kikín Fernández"
"s1166","Movie","Pagglait","Umesh Bist","""Sanya Malhotra"," Sayani Gupta"," Ashutosh Rana",," Shruti Sharma"," Sheeba Chaddha"," Natasha Rastogi"," Rajesh Tailang"
"s1167","TV Show","The Irregulars","","""Mckell David"," Thaddea Graham"," Jojo Macari",," Darci Shaw"," Clarke Peters"," Royce Pierreson"," Henry Lloyd-Hughes"""
"s1168","Movie","Caught by a Wave","Massimiliano Camaiti","""Elvira Camarrone"," Christian Roberto"," Donatella Finocchiaro",," Vincenzo Amato"," Manuela Ventura"," Rosalba Battaglia"," Daniele Pilli"""
"s1169","TV Show","DOTA: Dragon's Blood","","""Yuri Lowenthal"," Lara Pulver"," Kari Wahlgren",," Troy Baker"," Freya Tingley"," Tony Todd""","United States"
"s1170","TV Show","Pui Pui Molcar","","","Japan","""March 25",,"2021","TV-Y7","1 Season","Kids' TV"
"s1171","Movie","Secret Magic Control Agency","Aleksey Tsitsilin","""Nicholas Corda"," Sylvana Joyce"," Alyson Leigh Rosenfeld",," Erica Schroeder"," Georgette Timoney"," Mary O'Brady"," Marc Thompson"""
"s1172","Movie","Seaspiracy","Ali Tabrizi","","United States","""March 24",,"2021","TV-14","90 min","Documentaries"
"s1173","Movie","Loyiso Gola: Unlearning","Kagiso Lediga","Loyiso Gola","South Africa","""March 23",,"2021","TV-MA","60 min","Stand-Up Comedy"
"s1174","TV Show","Men on a Mission","Jung-ah Im","""Ho-dong Kang"," Soo-geun Lee"," Sang-min Lee",," Jang-hoon Seo"," Hee-chul Kim"," Kyung-hoon Min""","South Korea"
"s1175","TV Show","Navillera","","""Park In-hwan"," Song Kang"," Na Moon-hee",," Cho Seong-ha"," Kim Tae-hun"," Cheong Hae-kyun"," Kim Soo-jin"
"s1176","Movie","Philomena","Stephen Frears","""Judi Dench"," Steve Coogan"," Sophie Kennedy Clark",," Barbara Jefford"," Ruth McCabe"," Peter Hermann"," Sean Mahon"
"s1177","Movie","Any Crybabies Around?","Takuma Sato","""Taiga Nakano"," Riho Yoshioka"," Kanichiro",," Kimiko Yo"," Toshiro Yanagiba""","Japan","""March 20"
"s1178","Movie","Hospital","Brody Chu","""Lin Po-Hung"," Tai Bo"," Jacqueline Zhu",," Hsu Lichi"," Yoko Young"," Samuel Gu"," Eunice Lin"""
"s1179","Movie","Jiu Jitsu","Dimitri Logothetis","""Alain Moussi"," Nicolas Cage"," Tony Jaa",," Frank Grillo"," Marie Avgeropoulos"," JuJu Chan"," Ryan Tarran"
"s1180","TV Show","Mighty Morphin Power Rangers","","""Austin St. John"," Thuy Trang"," Walter Jones",," David Yost"," Jason David Frank"," Johnny Yong Bosch"," Karan Ashley"
"s1181","TV Show","Alien TV","","""Rob Tinkler"," Julie Lemieux"," John Cleland",," Rupert Degas""","","""March 19"," 2021"""
"s1182","TV Show","Country Comfort","","""Katharine McPhee"," Eddie Cibrian"," Ricardo Hurtado",," Griffin McIntyre"," Shiloh Verrico"," Pyper Braun"," Janet Varney"
"s1183","TV Show","Formula 1: Drive to Survive","","","United Kingdom","""March 19",,"2021","TV-MA","3 Seasons","Docuseries"
"s1184","Movie","Reframe THEATER EXPERIENCE with you","Taketoshi Sado","Perfume","","""March 19",,"2020","TV-G","84 min","""International Movies"
"s1185","Movie","The Yin Yang Master","Li Weiran","""Chen Kun"," Zhou Xun"," Qu Chuxiao",," William Chan Wai-ting"," Wang Likun"," Cici Wang""","China"
